people ਜਨਤਾ
request ਮੰਗਣਾ
maximum ਜ਼ਿਆਦਾਤਰ
decide ਸੁਲਝਾਉਣਾ
supposed ਪਾਖੰਡੀ
majority ਬਹੁਮੱਤ
stuff ਪਾਉਣਾ
sound ਵਜਾਉਣਾ
concern ਪੈਣਾ
upcoming ਆਗਾਮੀ
critical ਨੁਕਤਾਚੀਨੀ
damaged ਨੁਕਸਾਨੀ
line ਰੇਖਾ
silver ਚਾਂਦੀ
ground ਜ਼ਮੀਨ
asking ਸਵਾਲੀਆ
budget ਬਜਟ
museum ਅਜਾਇਬਘਰ
properly ਸਿੱਧਾ
funny ਕਮੇਡੀ
forward ਅੱਗੇ
fell ਸੁੱਟਣਾ
sit ਬੈਠਣਾ
direct ਸਿੱਧਾ
published ਪ੍ਰਕਾਸ਼ਿਤ
learning ਵਿਦਵਤਾ
winning ਜੇਤੂ
educational ਸਿੱਖਿਆਦਾਇਕ
quiet ਸ਼ਾਂਤ
female ਮਾਦਾ
tough ਸੰਘਰਸ਼ਮਈ
deep ਗਹਿਰਾਈ
exciting ਭੜਕਾਊ
plenty ਢੇਰ
occur ਮਿਲਨਾ
die ਮਰਨਾ
storage ਗੁਦਾਮ
creative ਰਚਨਾਤਮਕ
unidentified ਗੁਮਨਾਮ
drive ਚਲਾਉਣਾ
progress ਉੱਨਤੀ
grateful ਤ੍ਰਿਪਤ
writer ਲੇਖਕ
appear ਉੱਠਣਾ
relevant ਪ੍ਰਸੰਗਿਕ
repeat ਦੁਹਰਾਉਣਾ
interior ਅੰਦਰੂਨੀ
suspended ਮੁਲਤਵੀ
web ਜਾਲ
exam ਪ੍ਰਸ਼ਨਾਵਲੀ
thereafter ਉਪਰੰਤ
sitting ਵਿਰਾਜਮਾਨ
holiday ਛੁੱਟੀ
ago ਪਹਿਲਾਂ
develop ਨਿਕਲਣਾ
enter ਵੜਨਾ
sister ਭੈਣ
humans ਮਨੁਖ
consume ਲੱਗਣਾ
requested ਪੂਜਨੀਕ
calm ਠੰਡਾ
pass ਜਾਣਾ
slowly ਧੀਮਾ
placed ਸਥਿਤ
previous ਸਾਬਕਾ
boil ਉਬਾਲਣਾ
launch ਚਲਾਉਣਾ
cooking ਰਸੋਈ
screen ਪਰਦਾ
author ਲੇਖਕ
childhood ਬਚਪਨ
send ਭੇਜਣਾ
original ਦੇਸੀ
walk ਚਾਲ
handle ਵਰਤਣਾ
touch ਸੰਪਰਕ
regularly ਨਿਯਮਤ
gorgeous ਚਮਕੀਲਾ
version ਪ੍ਰਤੀਰੂਪ
nutrition ਪੌਸ਼ਟਿਕ
learned ਸੁਰੱਖਿਅਤ
stir ਰਗੜਨਾ
stone ਪੱਥਰ
established ਗਠਿਤ
proposal ਰਿਸ਼ਤਾ
butter ਮੱਖਣ
imagine ਮੰਨਣਾ
thankful ਤ੍ਰਿਪਤ
tour ਘੁੰਮਣਾ
raise ਉਚਾਈ
rapidly ਫੋਰਨ
round ਗੋਲ
sale ਬਿਕਰੀ
industrial ਉਦਯੋਗਿਕ
double ਦੁਗਣਾ
driving ਚਲਾਉਣਾ
dance ਨੱਚਣਾ
tested ਜਾਂਚਿਆ
executive ਕਾਰਜਕਾਰੀ
deeply ਗਹਿਰਾਈ
infected ਸੰਕ੍ਰਮਿਤ
prior ਮਹੰਤ
sick ਕਮਲਾ
anger ਗੁੱਸਾ
cleaning ਸਫ਼ਾਈ
limit ਸੀਮਾ
loving ਪ੍ਰੇਮੀ
yellow ਪੀਲਾ
cancelled ਰੱਦ
sell ਨਿਕਲਣਾ
suffer ਟੁੱਟਣਾ
plane ਜਹਾਜ਼
investigate ਛਾਣਬੀਣ
scientific ਵਿਗਿਆਨਕ
slow ਧੀਮਾ
transmission ਪ੍ਰਸਾਰਣ
terrorism ਅੱਤਵਾਦ
male ਨਰ
busy ਵਿਅਸਤ
suspect ਵਿਰੋਧੀ
measure ਮਾਪਣਾ
northern ਉਤਰੀ
panic ਘਬਰਾਉਣਾ
blend ਮਿਲਾਉਣਾ
chemical ਰਸਾਇਣਕ
defeat ਹਰਾਉਣਾ
pending ਵਿਚਾਰਅਧੀਨ
proposed ਪ੍ਰਸਤਾਵਿਤ
fan ਭਗਤ
worldwide ਵਿਸ਼ਵਵਿਆਪੀ
element ਵਿਅੰਗ
liver ਜਿਗਰ
outbreak ਪ੍ਰਕੋਪ
rice ਝੋਨਾ
miss ਕੁਮਾਰੀ
sensitive ਭਾਵਨਾਤਮਕ
constituted ਗਠਿਤ
citizenship ਨਾਗਰਿਕਤਾ
toss ਸੁੱਟਣਾ
shocked ਸੁੰਨ
boost ਵਧਾਉਣਾ
stun ਘਬਰਾਉਣਾ
prescribed ਅਨੁਸਾਰ
fake ਪਖੰਡੀ
earthquake ਭੂਚਾਲ
defeated ਹਾਰੇ
lemon ਨਿੰਬੂ
burning ਜਲਦਾ
dairy ਡੇਰੀ
holy ਧਾਮ
fulfilled ਭਰਪੂਰ
citizen ਨਾਗਰਿਕ
opposed ਵਿਰੋਧੀ
rose ਗੁਲਾਬੀ
passenger ਸਵਾਰੀ
pick ਚੁਣ
promised ਵਚਨਬੱਧ
smoking ਧੂੰਆਂ
manufacturer ਉਤਪਾਦਕ
premises ਵਿਹੜਾ
popularity ਪ੍ਰਸਿੱਧੀ
entrance ਦਾਖਲਾ
vacation ਛੁੱਟੀ
schedule ਪ੍ਰੋਗਰਾਮ
applicable ਲਾਗੂ
display ਦਿਖਾਉਣਾ
ill ਬਿਮਾਰੀ
promote ਤਰੱਕੀ
metal ਧਾਤ
wheat ਕਣਕ
shopping ਖਰੀਦਾਰੀ
finish ਮੰਜ਼ਿਲ
pour ਵਹਾਉਣਾ
spring ਬਸੰਤ
southern ਦੱਖਣੀ
gentle ਸੁਸ਼ੀਲ
repeated ਦੁਹਰਾਇਆ
parent ਮਾਪੇ
quit ਛੱਡਣਾ
afternoon ਦੁਪਹਿਰ
producer ਉਤਪਾਦਕ
winner ਜੇਤੂ
autopsy ਪੋਸਟਮਾਰਟਮ
headquarters ਸਦਰ
protected ਮਹਿਫੂਜ਼
administrative ਪ੍ਰਸ਼ਾਸਨਿਕ
presidential ਪ੍ਰਧਾਨਗੀ
hell ਨਰਕ
score ਅੰਕ
copy ਉਤਾਰਨਾ
safely ਸੁਰੱਖਿਅਤ
count ਗਿਣਨਾ
tourist ਸੈਲਾਨੀ
plus ਜੋੜ
storm ਤੂਫਾਨ
rapid ਤੇਜ਼
situated ਸਥਿਤ
escape ਭੱਜਣਾ
advertising ਇਸ਼ਤਿਹਾਰ
corner ਕੋਨਾ
consumer ਉਪਭੋਗਤਾ
interrogation ਸੁਆਲ
consecutive ਲੜੀਵਾਰ
bottom ਤਲ
wing ਉੱਡਣਾ
elaborate ਸਮਝਾਉਣਾ
observe ਦੇਖਣਾ
catch ਫੜਨਾ
paint ਰੰਗਨਾ
smell ਬਦਬੂ
root ਜੜ੍ਹ
tribute ਸ਼ਰਧਾਜਲੀ
scam ਲੁੱਟਣਾ
grant ਅਨੁਦਾਨ
autumn ਪੱਤਝੜ
roof ਛੱਤ
chairperson ਸਭਾਪਤੀ
royal ਰਾਜਸੀ
cotton ਕਪਾਹ
survive ਬਚਣਾ
except ਛੱਡਣਾ
flat ਪੱਧਰਾ
incorrect ਗਲਤ
restore ਲਿਆਉਣਾ
mechanical ਯੰਤਰਿਕ
inexpensive ਸਸਤਾ
overcome ਹਰਾਉਣਾ
mineral ਖਣਿਜ
garlic ਲਸਣ
laugh ਹੱਸਣਾ
guide ਮਾਰਗਦਰਸ਼ਕ
context ਸੰਦਰਭ
founder ਮੋਢੀ
legislative ਵਿਧਾਨਿਕ
lay ਰੱਖਣਾ
transparent ਪਾਰਦਰਸ਼ੀ
rear ਪਿਛੇ
decent ਸ਼ਰੀਫ
cat ਬਿੱਲੀ
strategic ਕੂਟਨੀਤਕ
replace ਬਦਲਣਾ
photograph ਤਸਵੀਰ
earned ਕਮਾਇਆ
collect ਜੋੜਨਾ
hungry ਭੁੱਖਾ
psychology ਮਨੋਵਿਗਿਆਨ
applicant ਉਮੀਦਵਾਰ
filling ਭਰਾਈ
aviation ਹਵਾਈ
guidance ਕੌਂਸਲਿੰਗ
sunlight ਧੁੱਪ
map ਨਕਸ਼ਾ
secured ਬੰਧਨ
grace ਸਦਭਾਵ
experiment ਪ੍ਰਯੋਗ
decorative ਸਜਾਵਟੀ
orange ਨਾਰੰਗੀ
shade ਛਾਂ
knee ਗੋਡਾ
donation ਚੰਦਾ
pack ਸਮੂਹ
requirement ਮੰਗ
swelling ਸੋਜ
poverty ਗਰੀਬੀ
humidity ਨਮੀ
organic ਜੀਵੰਤ
discomfort ਘਬਰਾਹਟ
hunger ਭੁੱਖ
moderate ਮੱਧਮ
destroy ਮਿਟਾਉਣਾ
tobacco ਤੰਬਾਕੂ
hunt ਸ਼ਿਕਾਰ
divorce ਤਲਾਕ
wealth ਧਨ
politician ਰਾਜਨੀਤੀਵਾਨ
conscious ਚੇਤਨ
worthy ਯੋਗ
fraud ਪਖੰਡੀ
boring ਅਕਾਊ
continent ਮਹਾਦੀਪ
monthly ਮਾਸਿਕ
smoke ਤੰਬਾਕੂਨੋਸ਼ੀ
migrant ਪ੍ਰਵਾਸੀ
worship ਭਗਤੀ
nursing ਸੇਵਾ
bond ਮਿਲਾਉਣਾ
fail ਹਾਰਨਾ
cleared ਬਰੀ
connecting ਸੰਯੋਜਕ
indicator ਸੰਕੇਤਕ
rupee ਰੁਪਏ
plot ਪਲਾਟ
forthcoming ਆਗਾਮੀ
feeding ਅਹਾਰ
cottage ਬੰਗਲਾ
thrilled ਰੋਮਾਂਚਿਤ
boiled ਉਬਲਿਆ
ship ਜਹਾਜ਼
leather ਚਮੜਾ
queen ਰਾਣੀ
independently ਆਜਾਦੀ
legend ਦੰਤਕਥਾ
diameter ਵਿਆਸ
retirement ਸੇਵਾਮੁਕਤੀ
motivated ਪ੍ਰੇਰਿਤ
preventive ਨਿਵਾਰਕ
discover ਖੋਜਣਾ
businessman ਵਪਾਰੀ
gallery ਛੱਜਾ
acne ਮੁਹਾਸੇ
hanging ਫਾਂਸੀ
educated ਸਿੱਖਿਅਤ
literary ਸਾਹਿਤਿਕ
rating ਮੁਲਾਂਕਣ
quake ਭੂਚਾਲ
mysterious ਰਹੱਸਮਈ
ear ਕੰਨ
philosophy ਦਰਸ਼ਨ
draft ਮਸੌਦਾ
relative ਸੰਬੰਧੀ
reveal ਖੋਲਣਾ
saturated ਲੱਥਪੱਥ
grain ਦਾਨਾ
burnt ਸੜਿਆ
neighbor ਗੁਆਂਡੀ
notable ਵਿਚਾਰਨਯੋਗ
pull ਖਿੱਚਣਾ
lonely ਇਕਲਾ
sing ਗਾਉਣਾ
ring ਅਖਾੜਾ
christian ਈਸਾਈ
shy ਸ਼ਰਮਾਕਲ
cheerful ਹੱਸਮੁੱਖ
bound ਸੀਮਾ
girlfriend ਸਾਥੀ
touched ਛੂਹਿਆ
encouraging ਉਤਸ਼ਾਹਪੂਰਵਕ
attacker ਹਮਲਾਵਰ
specially ਖਾਸਕਰ
frightened ਘਬਰਾਇਆ
attraction ਆਕਰਸ਼ਣ
interfere ਪੈਣਾ
mankind ਮਨੁਖ
pose ਰੱਖਣਾ
ridiculous ਬਦਨਾਮ
eternal ਅਨਾਦਿ
preferred ਲਾਡਲਾ
speedy ਤੇਜ਼
urine ਪਿਸ਼ਾਬ
terrified ਘਬਰਾਇਆ
scare ਡਰਾਉਣਾ
accommodate ਠਹਿਰਾਉਣਾ
artistic ਕਲਾਤਮਕ
voter ਵੋਟਰ
gender ਲਿੰਗ
tooth ਦੰਦ
oven ਭੱਠੀ
execution ਸੰਪਾਦਨ
marked ਅੰਕਿਤ
extract ਖਿੱਚਣਾ
verification ਪ੍ਰਮਾਣੀਕਰਨ
mount ਬੈਠਣਾ
reflect ਚਮਕਣਾ
pharmaceutical ਔਸ਼ਧੀ
abortion ਗਰਭਪਾਤ
covering ਢਕਣਾ
remark ਟਿੱਪਣੀ
complainant ਮੁਦਈ
telecom ਦੂਰਸੰਚਾਰ
coat ਲੇਪ
inspiring ਪ੍ਰੇਰਕ
approaching ਆਗਾਮੀ
rider ਸਵਾਰੀ
batter ਕੁੱਟਣਾ
immigration ਪ੍ਰਵਾਸ
cleansing ਸਫ਼ਾਈ
diversity ਅਨੇਕਤਾ
sensitivity ਸੰਵੇਦਨਸ਼ੀਲਤਾ
grandfather ਨਾਨਾ
demonstrate ਦਿਖਾਉਣਾ
remembering ਯਾਦ
sorrow ਅਫਸੋਸ
bachelor ਕੁਆਰਾ
export ਨਿਰਯਾਤ
attach ਜੋੜਨਾ
transparency ਪਾਰਦਰਸ਼ਤਾ
striking ਧੱਕਾ
legitimate ਜਾਇਜ
frequency ਬਾਰੰਬਾਰਤਾ
pop ਉੱਠਣਾ
floral ਫੁੱਲਦਾਰ
sugarcane ਗੰਨਾ
necessity ਲੋੜ
detention ਕੈਦ
rainy ਬਰਸਾਤੀ
hitting ਧੱਕਾ
makeup ਸ਼ਿੰਗਾਰ
nail ਨਹੁੰ
separated ਵੱਖਰਾ
donate ਦੇਣਾ
dare ਲਲਕਾਰ
terminal ਮਿਆਦੀ
unprecedented ਅਸਾਧਾਰਣ
technological ਉਦਯੋਗਿਕ
shameful ਅਪਮਾਨਜਨਕ
poisonous ਜ਼ਹਿਰੀਲਾ
slogan ਨਾਅਰਾ
locality ਮਹੱਲਾ
divine ਦੇਵ
brick ਇੱਟ
coating ਲੇਪ
lazy ਆਲਸੀ
evaluation ਮੁਲਾਂਕਣ
geographical ਭੂਗੋਲਿਕ
noteworthy ਵਿਚਾਰਨਯੋਗ
metropolitan ਮਹਾਂਨਗਰੀ
promising ਹੋਣਹਾਰ
wire ਤਾਰ
definite ਪੱਕਾ
pharmacy ਮੈਡੀਕਲ
vicinity ਮਹੱਲਾ
pumpkin ਕੱਦੂ
mixing ਮਿਸ਼ਰਣ
capture ਕਾਬੂ
verified ਪ੍ਰਮਾਣਿਤ
legislator ਵਿਧਾਇਕ
fog ਕੋਰਾ
chairmanship ਪ੍ਰਧਾਨਗੀ
tattoo ਛਾਪਣਾ
reflection ਅਕਸ
publication ਪ੍ਰਕਾਸ਼ਨ
thoughtful ਵਿਚਾਰਵਾਨ
dramatic ਨਾਟਕੀ
accredited ਨਿਯੁਕਤ
bribe ਰਿਸ਼ਵਤ
reflected ਪਰਿਵਰਤਿਤ
charm ਮੋਹਣਾ
refund ਵਾਪਸੀ
dwell ਰਹਿਣਾ
shine ਚਮਕਣਾ
contagious ਸੰਚਾਰੀ
partition ਵਿਭਾਜਨ
holder ਧਾਰਕ
horse ਘੋੜਾ
suppress ਦਬਾਉਣਾ
sink ਦਬਾਉਣਾ
convener ਸਭਾਪਤੀ
bite ਕੱਟਣਾ
acknowledge ਮੰਨਣਾ
closure ਨਿਪਟਾਰਾ
substitute ਬਦਲਣਾ
translation ਰੂਪਾਂਤਰਣ
grass ਘਾਹ
demonstrated ਪ੍ਰਦਰਸ਼ਿਤ
pocket ਜੇਬ
provincial ਰਾਜਕੀ
emerge ਨਿਕਲਣਾ
approximate ਅਨੁਮਾਨਿਤ
banana ਕੇਲਾ
backbone ਰੀੜ
seated ਵਿਰਾਜਮਾਨ
intellectual ਬੁੱਧੀਜੀਵੀ
unconstitutional ਅਸੰਵਿਧਾਨਕ
disturb ਹਿਲਾਉਣਾ
genre ਸ਼ੈਲੀ
zoo ਚਿੜੀਆਘਰ
assurance ਦਿਲਾਸਾ
wipe ਪੂੰਝਣਾ
neighbour ਗੁਆਂਡੀ
empire ਸਾਮਰਾਜ
sugary ਮਿੱਠਾ
feminine ਜਨਾਨਾ
hesitate ਰੁਕਦਾ
trap ਫੜਨਾ
loyal ਦੇਸ਼ਭਗਤ
cloud ਬੱਦਲ
corrupt ਖਵਾਉਣਾ
barely ਅਲਪ
surrender ਆਤਮਸਮਰਪਣ
mutually ਪਰਸਪਰ
optimistic ਆਸ਼ਾਵਾਦੀ
irritation ਘਬਰਾਹਟ
dull ਅਕਾਊ
audit ਜਾਂਚਣਾ
rub ਰਗੜ
provoke ਤਾੜਨਾ
pen ਕਲਮ
printing ਛਪਾਈ
decisive ਨਿਰਣਾਇਕ
feasible ਕਰਨਯੋਗ
misuse ਦੁਰਉਪਯੋਗ
trusting ਵਿਸ਼ਵਾਸੀ
danish ਡੈਨਿਸ਼
mathematics ਗਣਿਤ
departmental ਵਿਭਾਗੀ
utility ਉਪਯੋਗਤਾ
victorious ਜੇਤੂ
tropical ਊਸ਼ਣਕਟੀਬੰਧੀ
secular ਧਰਮਨਿਰਪੱਖ
crystal ਬਲੌਰ
licensed ਨਿਯੁਕਤ
comprehend ਸਮਝਿਆ
incorporated ਸ਼ਾਮਿਲ
explosive ਵਿਸਫੋਟਕ
territorial ਖੇਤਰੀ
weigh ਤੋਲਣਾ
pissed ਟੱਲੀ
circular ਗੋਲ
palm ਹਥੇਲੀ
disgusting ਈਰਖਾਲੂ
serial ਲੜੀਵਾਰ
scholar ਵਿਦਿਆਰਥਣ
autonomous ਨਿੱਜੀ
diabetic ਸ਼ੂਗਰ
edible ਖਾਣਯੋਗ
eldest ਪਲੇਠਾ
peculiarity ਵਿਲੱਖਣਤਾ
ruin ਵਿਨਾਸ਼ਕਾਰੀ
diarrhea ਦਸਤ
stray ਭਟਕਣਾ
jealous ਈਰਖਾਲੂ
viable ਕਰਨਯੋਗ
consulate ਦੂਤਾਵਾਸ
cinnamon ਦਾਲਚੀਨੀ
twist ਮਰੋੜ
grasp ਸਮਝਿਆ
cave ਗੁਫਾ
untimely ਬੇਵਕਤ
reproduction ਪ੍ਰਜਨਣ
curd ਦਹੀ
curriculum ਪਾਠਕ੍ਰਮ
decreasing ਘਟਣਾ
thief ਚੋਰ
desert ਰੇਗਿਸਤਾਨ
execute ਚਲਾਉਣਾ
upgrade ਤਰੱਕੀ
teen ਬਾਲਿਕਾ
thrilling ਰੋਮਾਂਚਿਕ
seasonal ਮੌਸਮੀ
construct ਬਣਨਾ
graphics ਦਸਤਕਾਰੀ
convince ਸਮਝਾਉਣਾ
neglected ਅਣਦੇਖਿਆ
floating ਤੈਰਦਾ
spin ਮਰੋੜ
mislead ਭਟਕਾਉਣਾ
investor ਨਿਵੇਸ਼ਕ
unanimous ਇਕਮੱਤ
aerial ਹਵਾਈ
obese ਬੇਡੌਲ
stubborn ਅੜੀਅਲ
homeless ਬੇਘਰ
standstill ਜਾਮ
incorporate ਸ਼ਾਮਿਲ
meditation ਧਿਆਨ
arresting ਸਨਸਨੀਖੇਜ
stimulate ਜਗਾਉਣਾ
lean ਝੁਕਣਾ
definitive ਅਧਿਕਾਰਿਕ
catching ਸੰਚਾਰੀ
counselling ਕੌਂਸਲਿੰਗ
forehead ਮੱਥਾ
pause ਰੁਕਦਾ
adaptation ਅਨੁਕੂਲਣ
institutional ਸੰਸਥਾਗਤ
hunting ਸ਼ਿਕਾਰ
journalism ਪੱਤਰਕਾਰੀ
artwork ਦਸਤਕਾਰੀ
flesh ਮਾਸ
leafy ਪੱਤੇਦਾਰ
expressive ਪੇਸ਼ਕਾਰੀ
hardworking ਮਿਹਨਤੀ
spurious ਦੋਗਲਾ
mud ਚਿੱਕੜ
joyous ਅਨੰਦਮਈ
contracted ਇਕੱਠਾ
digest ਪਚਾਉਣਾ
mill ਚੱਕੀ
basil ਤੁਲਸੀ
tortured ਸਤਾਏ
shadow ਪਰਛਾਵਾਂ
anticipatory ਆਸਵੰਦ
selfish ਸਵਾਰਥੀ
relevance ਪ੍ਰਸੰਗਿਕਤਾ
civilization ਸੱਭਿਅਤਾ
admired ਪ੍ਰਸੰਸਾਯੋਗ
abduction ਅਗਵਾਹ
cherry ਚੈਰੀ
loneliness ਤਨਹਾਈ
airy ਹਵਾਦਾਰ
frank ਬੇਝਿਜਕ
tightly ਖਚਾਖਚ
avid ਲੋਭੀ
tedious ਅਕਾਊ
presidency ਪ੍ਰਧਾਨਗੀ
merged ਸ਼ਾਮਿਲ
vehicular ਵਾਹਨ
sticky ਲੇਸਦਾਰ
scratch ਖਿੱਚਣਾ
voiced ਘੋਸ਼
rumour ਅਫਵਾਹ
opponent ਵਿਰੋਧੀ
syllabus ਪਾਠਕ੍ਰਮ
projected ਪ੍ਰਸਤਾਵਿਤ
waist ਕਮਰ
freeze ਜੰਮਣਾ
bust ਟੁੱਟਣਾ
jewish ਯਹੂਦੀ
signature ਹਸਤਾਖਰ
conclude ਨਿਪਟਣਾ
publishing ਪ੍ਰਕਾਸ਼ਨ
infinite ਬੇਅੰਤ
renovation ਨਵੀਨੀਕਰਣ
unbeaten ਅਜਿਤ
brass ਪਿੱਤਲ
exhibit ਦਿਖਾਉਣਾ
pilgrimage ਤੀਰਥ
accumulate ਜੋੜਨਾ
sew ਲਗਾਉਣਾ
successive ਲੜੀਵਾਰ
objectionable ਇਤਰਾਜਯੋਗ
binding ਆਵਰਣ
waterlogged ਦਲਦਲੀ
outing ਪਿਕਨਿਕ
constituent ਵਿਅੰਗ
revenge ਬਦਲਾ
solo ਇਕੱਲਾ
morale ਮਨੋਬਲ
negligent ਲਾਪਰਵਾਹੀ
taxation ਮਾਮਲਾ
expose ਦਿਖਾਉਣਾ
oval ਅੰਡਾਕਾਰ
comic ਕਮੇਡੀ
conquer ਦਬਾਉਣਾ
abusive ਅਪਮਾਨਜਨਕ
indigo ਨੀਲ
opium ਅਫੀਮ
accent ਬੋਲੀ
assertion ਪੁਸ਼ਟੀ
admiral ਜਲਸੈਨਾ
sensational ਸਨਸਨੀਖੇਜ
daring ਲਲਕਾਰ
twins ਮਿਥੁਨ
retaliation ਬਦਲਾ
patriotic ਦੇਸ਼ਭਗਤ
bouquet ਗੁਲਦਸਤਾ
complication ਪਰੇਸ਼ਾਨੀ
beam ਚਮਕਣਾ
socialist ਸਮਾਜਵਾਦੀ
renewable ਨਵੀਨੀਕਰਣ
endurance ਸਹਿਣਸ਼ੀਲਤਾ
majestic ਰਾਜਸੀ
practise ਸਾਧਨਾ
airplane ਜਹਾਜ਼
literacy ਸਾਖਰਤਾ
glossy ਰੇਸ਼ਮੀ
glow ਚਮਕਣਾ
suspend ਲਮਕਾਉਣਾ
soluble ਘੁਲਣਸ਼ੀਲ
lush ਰਸੀਲਾ
villain ਖਲਨਾਇਕ
dismiss ਕੱਢਣਾ
deadlock ਜਾਮ
atmospheric ਵਾਤਾਵਰਣੀ
worshipped ਪੂਜਣਯੋਗ
exhausting ਥਕਾਊ
waking ਜਾਗ੍ਰਿਤ
archaeological ਪੁਰਾਤਤਵ
cardamom ਇਲਾਇਚੀ
fertile ਉਪਜਾਊ
chilly ਮਿਰਚ
rubbing ਰਗੜ
