abdul   අබ්දුල්
cable   කේබල්
calibration ක්‍රමාංකනය
calling ඇමතීම
canada	කැනඩාව
canal	ඇළ
candidate	අපේක්ෂකයා
capacitor	ධාරිත්‍රකය
capacity	ධාරිතාව
capital	ප්‍රාග්ධනය
card    කාඩ්පත
cases	නඩු
cash	මුදල්
casual	අනියම්
categories  කාණ්ඩ
cattle	ගවයන්
ceiling සිවිලිම
cement  සිමෙන්ති
census	සංගණනය
cent    ශත
centers	මධ්‍යස්ථාන
centralized මධ්‍යගත
centre  කේන්ද්‍රය
cents	ශත
century	සියවස
ceremony	උත්සවය
certificate	සහතිකය
chain   දාමය
chairman    සභාපති
chairs  පුටු
challenge   අභියෝගය
chaminda    චමින්ද
championship    ශූරතාව
chandana    චන්දන
channel නාලිකාව
chapter	පරිච්ඡේදය
charges	ගාස්තු
charter ප්‍රඥප්තිය
chartered   වරලත්
chemical    රසායනික
chenkaladi  චෙන්කලඩි
cheques චෙක්පත්
chilaw	හලාවත
child	ළමා
chilli	මිරිස්
china   චීනය
christian   ක්‍රිස්තියානි
christmas   නත්තල්
chunnakam   චුන්නාකම්
church	පල්ලිය
circle  කවය
circuit පරිපථය
circular    චක්‍රලේඛය
circulation	සංසරණය
circumstances	තත්වයන්
cities  නගර
citizenship පුරවැසිභාවය
civil   සිවිල්
class	පන්තිය
classification  වර්ගීකරණය
clay    මැටි
clean   පිරිසිදු
clearance   නිෂ්කාශනය
clearly පැහැදිලිව
clerk	ලිපිකරු
clinic  සායනය
clinker ක්ලින්කර්
close	සමීප
clusters    පොකුරු
coal    ගල්අඟුරු
coastal වෙරළබඩ
coconut පොල්
code    කේතය
coexistence	සහජීවනය
coins   කාසි
collaboration   එක්ව
collective  සාමූහික
college	විදුහල
colombo කොළඹ
columns තීරු
combination	සංයෝජනය
combined	ඒකාබද්ධ
commemoration   අනුස්මරණය
comments    අදහස්
commerce    වාණිජ
commission  කොමිසම
commitments කැපවීම්
committee	කමිටු
common  පොදු
communication	සන්නිවේදන
community   ප්‍රජාව
company සමාගම
comparison	සැසඳීම
compensation	වන්දි
competitions    තරඟ
complaint   පැමිණිල්ලක්
completely  සම්පූර්ණයෙන්ම
complex	සංකීර්ණ
compliance	අනුකූල
component	සංරචකය
composition සංයුතිය
compost කොම්පෝස්ට්
comprehensive	විස්තීර්ණ
computer	පරිගණක
concept සංකල්පය
conclusion  නිගමනය
concrete    කොන්ක්‍රීට්
conducts    පවත්වයි
conference	සම්මන්ත්‍රණය
conflict	ගැටුම
congestion	තදබදය
connection  සම්බන්ධතාවය
conservation    සංරක්ෂණ
considered	සැලකේ
consolidated    ඒකාබද්ධ
constant    නියත
constitution	ව්‍යවස්ථාව
construction    ඉදිකිරීම
consumption	පරිභෝජනය
contact අමතන්න
contemporary    සමකාලීන
content අන්තර්ගතය
context	සන්දර්භය
continuous  අඛණ්ඩ
contractor  කොන්ත්‍රාත්කරු
contribution	දායකත්වය
contributors    දායකයන්
control පාලනය
convenience පහසුව
convention	සම්මුතිය
cooperative සමුපකාර
coordinates ඛණ්ඩාංක
coordination    සම්බන්ධීකරණය
coordinators	සම්බන්ධීකාරකවරුන්
copies	පිටපත්
core	හරය
corporate	ආයතනික
correctly	නිවැරදිව
corresponding	අනුරූපී
corruption  දූෂණය
cost    පිරිවැය
councils	සභා
counselling උපදේශනය
country රට
course  පාඨමාලාව
courts	උසාවි
coverage	ආවරණය
cows	ගවයින්
crafts  අත්කම්
craftsmen	ශිල්පීන්
creative	නිර්මාණශීලී
creditors	ණයහිමියන්
cricket ක්‍රිකට්
crimes  අපරාධ
criteria	නිර්ණායක
crop	බෝග
cross   හරස්
cultivation	වගාව
culture	සංස්කෘතිය
culverts	බෝක්කු
cumulative  සමුච්චිත
customer	පාරිභෝගික
customs රේගුව
cut	කපා
cutting	කැපීම
cycles	චක්‍ර
daily   දිනපතා
dam	වේල්ල
damage	හානි
dambadeniya දඹදෙණිය
dambulla	දඹුල්ල
data    දත්ත
date	දිනය
deaths	මරණ
debt    ණය
decade  දශකය
december    දෙසැම්බර්
decentralized   විමධ්‍යගත
decisions   තීරණ
dedication	කැපවීම
deed    ඔප්පුව
defense	ආරක්ෂක
deficiency  ඌනතාවය
degree  උපාධිය
dehiwala    දෙහිවල
delay	ප්‍රමාදය
delft   ඩෙල්ෆ්ට්
demand  ඉල්ලුම
democratic	ප්‍රජාතන්ත්‍රවාදී
density ඝනත්වය
departments දෙපාර්තමේන්තු
dependants	යැපෙන්නන්
deployment	යෙදවීම
deposits	තැන්පතු
deputy  නියෝජ්‍ය
deshapriya  දේශප්‍රිය
design  නිර්මාණ
details විස්තර
determination	අධිෂ්ඨානය
developed	සංවර්ධිත
developers  සංවර්ධකයින්
dhamma	ධර්මය
dharmapala	ධර්මපාල
dictionaries    ශබ්දකෝෂ
diesel	ඩීසල්
difference  වෙනස
difficult   දුෂ්කර
digital ඩිජිටල්
diploma	ඩිප්ලෝමාව
direct	සෘජු
direction   දිශාව
director    අධ්‍යක්ෂ
directory   නාමාවලිය
disaster	ව්‍යසනය
discipline  විනය
disclaimer  වියාචනය
discussions සාකච්ඡා
disease රෝගය
disputes    ආරවුල්
dissanayake	දිසානායක
distance	දුර
districts   දිස්ත්‍රික්ක
diversification විවිධාංගීකරණය
diversity	විවිධත්වය
dividend	ලාභාංශ
divisions	කොට්ඨාශ
divulapitiya    දිවුලපිටිය
diyatalawa	දියතලාව
do	කරන්න
doctor	වෛද්‍යවරයා
document    ලේඛනය
dodangoda   දොඩන්ගොඩ
dollars	ඩොලර්
dompe   දොම්පේ
don දොන්
donations   පරිත්‍යාග
door    දොර
double	ද්විත්ව
download    බාගත
draft   කෙටුම්පත
drainage	ජලාපවහන
drama   නාට්‍ය
drinking    පානීය
driver  රියදුරු
drought නියඟය
drug	මත්ද්‍රව්‍ය
dry වියළි
duty	රාජකාරිය
earlier පෙරාතුව
earnings	ඉපැයීම්
eastern නැගෙනහිර
easy    පහසු
economy	ආර්ථිකය
educated    උගත්
eelam	ඊළාම්
efficient   කාර්යක්ෂම
efforts උත්සාහයන්
egypt   ඊජිප්තුව
eheliyagoda ඇහැලියගොඩ
eight   අට
ekanayake	ඒකනායක
elderly වයෝවෘද්ධ
election    මැතිවරණ
electric	විද්‍යුත්
electronic  ඉලෙක්ට්‍රොනික
element	මූලද්‍රව්‍ය
elephant    අලියා
elpitiya	ඇල්පිටිය
embilipitiya    ඇඹිලිපිටිය
emergency   හදිසි
emerging	මතුවෙමින්
emirates    එමිරේට්ස්
emission	විමෝචනය
employee	සේවකයා
employers   හාම්පුතුන්
empowerment බලගැන්වීම
encyclopedia	විශ්වකෝෂය
end අවසානය
energy  බලශක්ති
engine	එන්ජිම
engineer    ඉංජිනේරු
english	ඉංග්‍රීසි
enterprise  ව්‍යවසාය
entertainment   විනෝදාස්වාදය
entire  සමස්ත
entrepreneurs   ව්‍යවසායකයින්
environment පරිසරය
equal   සමාන
equipment	උපකරණ
equity  සාධාරණත්වය
error   දෝෂය
especially  විශේෂයෙන්ම
essays	රචනා
essential   අත්‍යවශ්‍ය
establishment   පිහිටුවීම
estimates   ඇස්තමේන්තු
ethical	සදාචාරාත්මක
euro    යුරෝ
european    යුරෝපා
evaluation	ඇගයීම
even    පවා
event	සිදුවීම
evidence	සාක්ෂි
exam	විභාගය
excellence	විශිෂ්ටත්වය
excellency  අතිගරු
except	හැර
excess	අතිරික්තය
exchange    හුවමාරුව
executive   විධායක
exercise    ව්‍යායාම
exhibition	ප්‍රදර්ශනය
existence	පැවැත්ම
expansion   ප්‍රසාරණය
expectation	අපේක්ෂාව
expenditures    වියදම්
experience	අත්දැකීම
expert  විශේෂඥ
exploration ගවේෂණය
exports අපනයන
exposure    නිරාවරණය
expressed   ප්‍රකාශිත
extension   දිගුව
external    බාහිර
extra   අමතර
extraction  නිස්සාරණය
facilities	පහසුකම්
factor  සාධකය
factory කර්මාන්තශාලාව
faculty පීඨය
fair    සාධාරණ
family  පවුල
famous  ප්‍රසිද්ධ
farm    ගොවිපොළ
farmer  ගොවියා
fault   වරද
favorable   හිතකර
fax ෆැක්ස්
features    විශේෂාංග
february    පෙබරවාරි
federation  සම්මේලනය
feet    අඩි
female	ගැහැණු
fernando    ප්‍රනාන්දු
fertilizer	පොහොර
festivals   උත්සව
fiber	තන්තු
field   ක්ෂේත්‍රය
files   ගොනු
filling	පිරවීම
filter  පෙරහන
finance	මූල්‍ය
findings    සොයාගැනීම්
fines	දඩ
fire    ගිනි
first   පළමුවන
fish    මාළු
fitness යෝග්‍යතාවය
five    පහ
fixed	ස්ථාවර
flags   කොඩි
flood   ගංවතුර
floor	මහල
flowers මල්
followup    පසුවිපරම
food	කෑම
foot    පාදය
football    පාපන්දු
for සඳහා
forces  බලවේග
foreign විදේශීය
foreigners  විදේශිකයන්
foremost	ප්‍රමුඛතම
formal  විධිමත්
former  හිටපු
forms   ආකෘති
formula සූත්‍රය
fort    බලකොටුව
forums	සංසද
forward ඉදිරියට
foundation  පදනම
four    හතර
frame   රාමුව
france	ප්‍රංශය
free    නිදහස්
freedom නිදහස
french  ප්‍රංශ
fresh	නැවුම්
friday  සිකුරාදා
friendly    මිත්‍රශීලී
from    සිට
fuel    ඉන්ධන
full	සම්පූර්ණ
fund    අරමුදල
fundamental මූලික
furthermore තවද
future  අනාගතය
galgamuwa   ගල්ගමුව
galle   ගාල්ල
gamini	ගාමිණී
gampaha ගම්පහ
gamperaliya ගම්පෙරළිය
ganewatta   ගනේවත්ත
garage  ගරාජය
garbage කුණු
gardens	උද්‍යාන
gas	ගෑස්
gate	ගේට්ටුව
gazette ගැසට්
generals    ජෙනරාල්වරු
generation	පරම්පරාව
genetic ජානමය
geographical    භූගෝලීය
germany ජර්මනිය
gifts   තෑගි
gigawatt    ගිගාවොට්
global  ගෝලීය
go  යන්න
goals   ඉලක්ක
godakawela  ගොඩකවෙල
gold    රන්
good	යහපත්
governor    ආණ්ඩුකාර
gradually   ක්‍රමයෙන්
graduates   උපාධිධාරීන්
grain	ධාන්‍ය
grants	ප්‍රදාන
graphite    මිනිරන්
grass   තණකොළ
gratitude   කෘතඥතාව
gratuity    පාරිතෝෂිතය
grave   සොහොන්
gravel	බොරළු
great   මහා
green   හරිත
grievances	දුක්ගැනවිලි
gross   දළ
group	සමූහය
guards	මුරකරුවන්
guidelines	මාර්ගෝපදේශ
gunaratne	ගුණරත්න
gunasekara  ගුණසේකර
habaraduwa  හබරාදූව
habarana    හබරණ
haggala	හග්ගල
half    අඩක්
hall    ශාලාව
hambantota  හම්බන්තොට
hand    අත
handling	හැසිරවීම
happy	සතුටු
hardware    දෘඩාංග
harmony සමගිය
harrison	හැරිසන්
harvest අස්වැන්න
hatton	හැටන්
having	තිබීම
hazards උපද්‍රවයන්
he	ඔහු
headquarters	මූලස්ථානය
health  සෞඛ්‍යය
heart   හදවත
hectares    හෙක්ටයාර
hence   එහෙයින්
herath	හේරත්
herbarium   ශාකාගාරය
here    මෙතන
heritage    උරුමය
highest	ඉහළම
hikkaduwa   හික්කඩුව
hindu   හින්දු
history ඉතිහාසය
holcim	හොල්සිම්
holes	සිදුරු
holiday	නිවාඩු
homagama    හෝමාගම
horana  හොරණ
horton  හෝටන්
hospital	රෝහල
host    සත්කාරක
hostel  නේවාසිකාගාරය
hotels	හෝටල්
hours   පැය
house	නිවස
how	කෙසේද
human   මිනිස්
hybrid  දෙමුහුන්
identification  හඳුනාගැනීම
identity	අනන්‍යතාව
image   රූපය
imbulpe ඉඹුල්පේ
immediately වහාම
immigration ආගමන
impact	බලපෑම
import  ආනයන
important	වැදගත්
in  තුල
inaugural	සමාරම්භක
incidental	ආනුෂංගික
including	ඇතුළුව
incorporated    සංස්ථාපිත
independent ස්වාධීන
index   දර්ශකය
india	ඉන්දියාව
indicate	දක්වන්න
indicators  දර්ශක
indirectly  වක්‍රව
indonesia	ඉන්දුනීසියාව
industrialists  කර්මාන්තකරුවන්
industry    කර්මාන්තය
inefficiencies  අකාර්යක්ෂමතා
inflation	උද්ධමනය
infrastructure  යටිතල
initial	ආරම්භක
injuries	තුවාල
inmates	රැඳවියන්
innovative	නව්‍ය
inputs  යෙදවුම්
inquiries	විමසීම්
inspector   පරීක්ෂක
installments	වාරික
instead	වෙනුවට
institute   ආයතනය
instructions    උපදෙස්
insurance   රක්ෂණය
intellectual	බුද්ධිමය
inter   අන්තර්
interest    උනන්දුව
interior	අභ්‍යන්තරය
internal	අභ්‍යන්තර
international	අන්තර්ජාතික
internet	අන්තර්ජාල
introduction    හැදින්වීම
investigations  විමර්ශන
investments	ආයෝජන
investors   ආයෝජකයින්
invitation  ආරාධනය
invoice ඉන්වොයිසිය
iran    ඉරානය
iraq    ඉරාකය
iron    යකඩ
irregularities  අක්‍රමිකතා
irrigation	වාරිමාර්ග
islamic ඉස්ලාමීය
island  දිවයින
item    අයිතමය
january ජනවාරි
japan   ජපානය
jayaratne   ජයරත්න
jayasinghe	ජයසිංහ
jobs    රැකියා
journey ගමන
judgement   විනිශ්චය
judges  විනිසුරුවරුන්
judicial	අධිකරණ
july	ජුලි
junction    හන්දිය
june    ජූනි
junior  කනිෂ්ඨ
just    හුදෙක්
justice යුක්තිය
kadawatha   කඩවත
kaduwela	කඩුවෙල
kahatagaha  කහටගහ
kalpitiya   කල්පිටිය
kalutara    කළුතර
kandy   මහනුවර
kankesan    කන්කේසන්
karate  කරාටේ
karunaratne කරුණාරත්න
kataragama	කතරගම
katunayake  කටුනායක
kaudulla    කවුඩුල්ල
kegalle	කෑගල්ල
kekirawa    කැකිරාව
kelanitissa කැලණිතිස්ස
kelaniya	කැලණිය
kenya   කෙන්යාව
kesbewa	කැස්බෑව
key	යතුර
kilinochchi කිලිනොච්චි
kilometers	කිලෝමීටර්
kind	කාරුණික
kingdom රාජධානිය
kiriella	කිරිඇල්ල
kit	කට්ටලය
knowledge   දැනුම
known	දන්නා
kollupitiya කොල්ලුපිටිය
kolonnawa	කොලොන්නාව
korea   කොරියාව
kotmale	කොත්මලේ
kottawa කොට්ටාව
kotte	කෝට්ටේ
kuliyapitiya    කුලියාපිටිය
kumara  කුමාර
kumari  කුමාරි
kundasale   කුණ්ඩසාලේ
kurunegala  කුරුණෑගල
kuwait  කුවේට්
laboratory	රසායනාගාරය
labour	කම්කරු
lagoon	කලපුව
lahugala	ලාහුගල
laksala ලක්සල
lal	ලාල්
lands	ඉඩම්
landslides  නායයෑම්
lanes	මංතීරු
language    භාෂාව
lanka   ලංකා
largest	විශාලතම
latest	නවතම
law නීතිය
lawyers නීතිඥවරුන්
leader  නායක
leader  නායක
leaders නායකයන්
leaflets	පත්‍රිකා
lecture දේශනය
lecturer    කථිකාචාර්ය
ledger	ලෙජරය
legal   නීතිමය
length	දිග
lenses  කාච
lessee  බදුකරු
lessons	පාඩම්
letter  ලිපිය
levels  මට්ටම්
liberation	විමුක්ති
library	පුස්තකාලය
licence බලපත්‍රය
life	ජීවිතය
lightning   අකුණු
limestone   හුණුගල්
limit	සීමාව
line    රේඛාව
link    සබැඳියාව
lion    සිංහයා
liquid	දියර
liquidity   ද්‍රවශීලතාව
liquor  මත්පැන්
list	ලැයිස්තුව
literature  සාහිත්‍යය
live    සජීවි
livelihood  ජීවනෝපාය
liyanage    ලියනගේ
local	දේශීය
location    ස්ථානය
london  ලන්ඩන්
long	දිගු
lorry	ලොරි
loss    අලාභය
lottery ලොතරැයිය
low අඩු
lunugamwehera   ලුණුගම්වෙහෙර
machine යන්ත්‍රය
macro   සාර්ව
magazine	සඟරාව
maharagama	මහරගම
mahaweli	මහවැලි
mahinda මහින්ද
mahiyangana මහියංගනය
main    ප්‍රධාන
maintenance	නඩත්තු
majority    බහුතරය
malaysia	මැලේසියාව
maldives    මාලදිවයින
management  කළමනාකරණ
mango	අඹ
manmunai	මන්මුනේ
mannar  මන්නාරම
manoj   මනෝජ්
manufacturers   නිෂ්පාදකයන්
map සිතියම
maradana	මරදාන
march   මාර්තු
margin  ආන්තිකය
marine	සමුද්‍ර
mark	ලකුණ
marriage	විවාහ
mass	ස්කන්ධය
matale  මාතලේ
material    ද්‍රව්‍ය
mattala	මත්තල
maximum	උපරිම
may මැයි
meaningful  අර්ථවත්
measurements    මිනුම්
mechanical	යාන්ත්‍රික
mechanisms  යාන්ත්‍රණ
medals	පදක්කම්
media	මාධ්‍ය
mediators   මැදිහත්කරුවන්
medicinal   ඖෂධීය
medium  මධ්‍යම
meeting රැස්වීම
mega    මෙගා
member	සාමාජික
memoranda   සංදේශ
mental	මානසික
message පණිවුඩය
meters  මීටර්
method  ක්‍රමය
metric	මෙට්‍රික්
micro   ක්ෂුද්‍ර
middle  මැද
milk    කිරි
millet  මෙනේරි
million මිලියන
mines   පතල්
minimum අවම
ministers	ඇමතිවරුන්
minor   සුළු
minute  මිනිත්තුව
minuwangoda මිනුවන්ගොඩ
mobile  ජංගම
mobility    සංචලනය
mode	මාදිලිය
model   ආකෘතිය
modern  නූතන
module  මොඩියුලය
mohamed	මොහොමඩ්
monaragala  මොනරාගල
monday  සඳුදා
month   මාසය
moratuwa    මොරටුව
more    තව
mortgage    උකස්
most    වඩාත්
motherland  මව්බිම
motivation	අභිප්‍රේරණය
motor   මෝටර්
motorcycles යතුරුපැදි
mountain    කන්ද
movement    චලනය
mullaitivu	මුලතිව්
multi   බහු
multilateral    බහුපාර්ශ්වික
musali	මුසලි
museum	කෞතුකාගාරය
music	සංගීත
muslim  මුස්ලිම්
mutual  අන්‍යෝන්‍ය
my	මගේ
myanmar	මියන්මාරය
nagoda	නාගොඩ
nallur	නල්ලුර්
namal	නාමල්
nanayakkara නානායක්කාර
narahenpita නාරාහේන්පිට
nation  ජාතිය
nature  ස්වභාවය
navy    නාවික
nawalapitiya    නාවලපිටිය
near	අසල
needs	අවශ්‍යතා
negative    සෘණ
negombo මීගමුව
nepal	නේපාලය
netball	දැල්පන්දු
netherlands නෙදර්ලන්තය
network	ජාල
networking	ජාලකරණය
new	නව
news	පුවත්
newspaper   පුවත්පත
next	ඊළඟ
nikaweratiya	නිකවැරටිය
nimal   නිමල්
nine    නවය
nitrogen    නයිට්‍රජන්
nivitigala	නිවිතිගල
nominal	නාමික
nominations නාමයෝජනා
nonpayment	නොගෙවීම
northern    උතුරු
norway	නෝර්වේ
note    සටහන
notification    දැනුම්දීම
november	නොවැම්බර්
now දැන්
nuclear න්‍යෂ්ටික
nugegoda    නුගේගොඩ
number  අංකය
nursery තවාන
nutrition   පෝෂණය
objection	විරෝධය
objects	වස්තූන්
observations	නිරීක්ෂණ
observatory නිරීක්ෂණාගාරය
obstacles	බාධා
october ඔක්තෝම්බර්
Officer නිලධාරී
offices	කාර්යාල
official    නිල
oil තෙල්
old	පැරණි
once    වරක්
one	එක
onion   ලූනු
opanayaka   ඕපනායක
open    විවෘත
operation	මෙහෙයුම
operator    ක්‍රියාකරු
opinion මතය
opportunity	අවස්ථාව
optimal ප්‍රශස්ත
option  විකල්පය
oral    වාචික
orders   නියෝග
ordinance	ආඥාපනත
ordinary    සාමාන්‍ය
organic කාබනික
organization	සංවිධානය
orientation දිශානතිය
origin  සම්භවය
our	අපගේ
out පිටතට
outdoor	එළිමහන්
outside පිටත
overdraft   අයිරාව
owner   හිමිකරු
pacific පැසිෆික්
package	පැකේජය
page	පිටුව
pakistan	පකිස්ථානය
pali	පාලි
pallekele   පල්ලෙකැලේ
panadura    පානදුර
pannipitiya පන්නිපිටිය
paper   කඩදාසි
para	පැරා
paragraph   ඡේදය
parallel	සමාන්තරව
parents දෙමාපියන්
parliament  පාර්ලිමේන්තුව
part	කොටස
participation	සහභාගීත්වය
partner සහකරු
party	පක්ෂය
past	අතීතයේ
pathirana	පතිරණ
patient	රෝගියා
payment ගෙවීම
peace   සාම
peliyagoda  පෑලියගොඩ
pelmadulla	පැල්මඩුල්ල
pensioners  විශ්‍රාමිකයින්
peradeniya  පේරාදෙණිය
percentage  ප්‍රතිශතය
perera	පෙරේරා
performance කාර්යසාධනය
periodically    කාලානුරූපව
permanent   ස්ථිර
permission	අවසර
person  පුද්ගලයා
pest    පළිබෝධ
petitions   පෙත්සම්
phones	දුරකථන
physical    ශාරීරික
physically  භෞතිකව
pilgrimage  වන්දනා
piliyandala පිළියන්දල
pilot	නියමුවා
pinnawala	පින්නවල
pioneer පුරෝගාමියා
pipe	පයිප්ප
pirith  පිරිත්
pits    වලවල්
places  ස්ථාන
placing තැබීම
plan	සැලැස්ම
plantation  වැවිලි
plate	තහඩුව
plates	තහඩු
playground  ක්‍රීඩාපිටිය
please  කරුණාකර
poles   පොලු
police  පොලිසිය
policy  ප්‍රතිපත්ති
political   දේශපාලන
polonnaruwa පොළොන්නරුව
polpitiya	පොල්පිටිය
polythene   පොලිතින්
pooja	පූජා
pool    තටාකය
poor	දුප්පත්
popular	ජනප්‍රිය
population	ජනගහනය
port	වරාය
portfolio   කළඹ
position	තනතුර
positive    ධනාත්මක
poson	පොසොන්
possession  සන්තකය
possible    හැකි
posts	තනතුරු
potential   විභවය
poverty	දරිද්‍රතාව
powder  කුඩු
power   බලය
practical   ප්‍රායෝගික
pradeep ප්‍රදීප්
pradeshiya	ප්‍රාදේශීය
preference  මනාපය
premises	පරිශ්‍රය
presidents	ජනාධිපතිවරු
previous    කලින්
price	මිල
primary ප්‍රාථමික
principal	විදුහල්පති
principles  මූලධර්ම
priority    ප්‍රමුඛත්වය
prison	බන්ධනාගාරය
prisoners   සිරකරුවන්
prizes  ත්‍යාග
probation	පරිවාස
problem ගැටලුව
procedure	පටිපාටිය
process ක්‍රියාවලිය
processes	ක්‍රියාවලීන්
processing	සැකසීම
procurement ප්‍රසම්පාදන‍ය
product	නිෂ්පාදන
productivity    ඵලදායිතාව
profession  වෘත්තිය
professional    වෘත්තීය
professor	මහාචාර්ය
proficiency	ප්‍රවීණත්වය
profile පැතිකඩ
program වැඩසටහන
progress    ප්‍රගතිය
project ව්‍යාපෘතිය
promotion   ප්‍රවර්ධන
proper	නිසි
proposal    යෝජනාව
prosperity  සමෘද්ධිය
provident   අර්ථසාධක
provider    සපයන්නා
provides    සපයයි
province    පළාත
provisions	ප්‍රතිපාදන
psychological	මනෝවිද්‍යාත්මක
publication	ප්‍රකාශනය
pumps	පොම්ප
purchase	මිලදී
purpose අරමුණ
pushpakumara    පුෂ්පකුමාර
puttalam    පුත්තලම
putting දැමීම
qatar   කටාර්
qualifications  සුදුසුකම්
quantitative	ප්‍රමාණාත්මක
quantities  ප්‍රමාණ
quarterly   කාර්තුමය
quarters    නිලනිවාස
queries විමසුම්
quick   ඉක්මන්
radiation	විකිරණ
radio   ගුවන්විදුලි
radioactive විකිරණශීලී
raids	වැටලීම්
rain	වැස්ස
raising නැංවීම
rajagiriya	රාජගිරිය
rajapaksa	රාජපක්ෂ
ramanayake	රාමනායක
ranaviru	රණවිරු
ranga   රංග
range	පරාසය
ranjan	රන්ජන්
ranjith රංජිත්
rantambe	රන්ටැඹේ
rare    දුර්ලභ
rate	අනුපාතය
ratmalana   රත්මලාන
ratnapura   රත්නපුර
ratnayake   රත්නායක
raw	අමු
reading	කියවීම
ready	සූදානම්
real    සැබෑ
reason	හේතුව
receipt	රිසිට්පත
receiving   ලැබීම
recent  මෑත
recommendation	නිර්දේශය
reconciliation  සංහිඳියාව
red රතු
reed	බට
reforms ප්‍රතිසංස්කරණ
