a මත
contracts ගිවිසුම්
contribution දායකත්වය
control පාලනය
controls පාලනය
conversion පරිවර්තනය
cooperation සහයෝගය
cooperative සමුපකාර 
coordinating    සමායෝජනය
coordination    සම්බන්ධීකරණය
copy    පිටපත
corporate   ඒකාබද්ධ 
corporation සංස්ථාව
corporations    සංස්ථා
correct නිවැරදි
corresponding අනුරූපී
cost මිල
costs   වියදම්
could හැකි
council මණ්ඩලය
counting ගණනය
countries රටවල්
country රට 
course පාඨමාලාව 
courses පාඨමාලා
court අධිකරණය 
courts  අධිකරණ
cover ආවරණය
create  සැකසීම
creating    සෑදීම
credit ණය
crimes අපරාධ
crop බෝග
cultivation වගාව
cultural සංස්කෘතික
culture සංස්කෘතිය
currently   දැනට
daily දිනපතා
data දත්ත 
date දිනය
day දිනය
days දින
debt    ණය
decision    තීරණය
decisions   තීරණ
decrease අඩුවීම
deferred ප්‍රමාද
deficiencies අඩුපාඩු
deficit හිඟය
defined නිශ්චිත
demand ඉල්ලුම
department දෙපාර්තමේන්තුව
departments දෙපාර්තමේන්තු
deposits    තැන්පතු
deputy නියෝජ්‍ය 
description විස්තරය
design නිර්මාණය 
designs නිර්මාණ
detailed විස්තරාත්මක
details තොරතුරු
develop සංවර්ධනය 
developed   සංවර්ධිත
development සංවර්ධනය
difference වෙනස
different   විවිධ
difficulties දුෂ්කරතා
diploma ඩිප්ලෝමා
direct  සෘජු
directly සෘජුව
director අධ්‍යක්ෂක
directors අධ්‍යක්ෂවරුන්
disabled    ආබාධිත
disaster ව්‍යසනය 
disclose අනාවරණය
disclosures හෙළිදරව්
discussions සාකච්ඡා
disposal අලෙවිය
disputes ආරවුල්
distributed බෙදාහැරීම්
distribution බෙදාහැරීම  
districts දිස්ත්‍රික්ක
division කොට්ඨාසය
divisions කොට්ඨාස
do  කිරීම 
document ලේඛනය
documents   ලිපිලේඛන
does කරයි
down පහළ
draft කෙටුම්පත
drama නාට්‍යය
drug මත්ද්‍රව්‍ය
drugs ඖෂධ
dry වියළි
due ගාස්තුව
duration කාලපරිච්ඡේදය
duties රාජකාරි 
each එකිනෙකා
earned උපයන
earnings ඉපැයීම්
economic ආර්ථික 
economy ආර්ථිකය
education අධ්‍යාපනය
educational අධ්‍යාපනික  
effective ඵලදායි   
effectively ඵලදායීව
effectiveness ඵලදායීතාව
effects බලපෑම්
efficiency  කාර්යක්ෂමතාව
elders  වැඩිහිටි
election මැතිවරණය    
elections මැතිවරණ
electoral මැතිවරණ
electors    ඡන්දහිමියන්
electronic ඉලෙක්ට්‍රොනික
emergency හදිසි
employed යොදවා
employees සේවකයන් 
employment  රැකියාව
end අග 
ended නිමි  
energy ශක්තිය    
engineer ඉංජිනේරු
engineering ඉංජිනේරු
enhancing වැඩිදියුණු
ensuring සහතික
enterprise ව්‍යවසාය
enterprises ව්‍යවසායන්
entire සමස්ත
entitled හිමි
enumeration ගණනය
environment පරිසරය 
environmental   පාරිසරික
equity  සාධාරණත්වය
equivalents සමාන
essential අත්‍යවශ්‍ය
established සංස්ථාපිත 
establishing පිහිටුවීම
establishments  පිහිටුවීම්
estate වතු
estimate    ඇස්තමේන්තුව
estimated ඇස්තමේන්තුගත
estimates ඇස්තමේන්තු
evaluated ඇගයීම
evaluating ඇගයීම
evaluation  ඇගයීම
even පවා 
event   අවස්ථාව
events  අංග
every   සෑම
evidence    සාක්ෂි
examination පරීක්ෂණය
examinations    විභාග
exceeding ඉක්මවූ
excellency අතිගරු
except හැර
excess  වැඩි 
exchange හුවමාරුව
executive විධායක
exhibition  ප්‍රදර්ශනය
existing පවතින
expected අපේක්ෂිත
expenditure වැය
expenses වියදම් 
experience අත්දැකීම්
export  අපනයනය
express ප්‍රකාශිත
extent ප්‍රමාණය
facilitation පහසුකරණ
facilities පහසුකම් 
facility පහසුකම්
factories කර්මාන්තශාලා
fair පැහැදිලි 
families    පවුල්
family පවුල්
far දුර
farmers ගොවීන්
fax ෆැක්ස්
fee ගාස්තු
fees ගාස්තු
female ස්ත්‍රී
festival    උත්සවය
field ක්ෂේත්‍රය
fields ක්ෂේත්‍ර
figures සංඛ්‍යා
finance මූල්‍ය
financial මූල්‍ය   
financing   මූල්‍යයනය
fines   දඩ
fisheries ධීවර
five    පහ
fixed ස්ථාවර
floor මහල
flows ගලා
follow අනුගමනය
following අනුව 
food    ආහාර
for උදෙසා
foreign විදේශීය
forest වන
form    ආකෘතිය
forms ආකෘති
forward ඉදිරියට  
forwarded යොමුකළා
foundation පදනම
four    හතර 
framework   රාමුව
free නිදහස් 
from පටන් 
fuel ඉන්ධන
fulfill ඉටුකිරීම
function කාර්යය
fund අරමුදල
funds අරමුදල්
further තව 
future අනාගතය
garden උද්‍යානය
gardens උද්‍යාන
general සාමාන්‍ය
generally පොදුවේ
given දුන්
giving දීම
global ගෝලීය
going යාම
good    හොඳ
goods   බඩු
governance  පාලනය
government රජය
grade ශ්‍රේණිය 
grant ප්‍රතිපාදනය 
grants  ප්‍රදාන
gratuity    පාරිතෝෂිකය
great මහා 
green කොළ
gross දළ
ground බිම
group   කණ්ඩායම 
groups  කණ්ඩායම්
growth  වර්ධනය
guidelines  මාර්ගෝපදේශ
hall    ශාලාව
has ඇත
having  තිබීම
he  ඔහු 
head ශීර්ෂය 
heads ශීර්ෂ
health සෞඛ්‍යය 
hectares හෙක්ටයාර
hereby මෙයින්
heritage උරුමය
high ඉහළ
highest මුදුන්
highways මහාමාර්ග
his ඔහුගේ
home    නිවස
hospital    රෝහල
hours පැය
housing නිවාස 
identify    හඳුනාගැනීම
identifying හඳුනාගැනීම
if නම් 
impairment දුර්වල
implementing    ඉටුකිරීම 
import ආනයන
importance වැදගත්කම
important වැදගත්
improvement දියුණුව 
in ගැන   
include අඩංගු
included අන්තර්ගත
including ඇතුළත්ව 
income ආදායම
increase වැඩිවීම
independent ස්වාධීන
indicate අඟවනවා
industrial කාර්මික
industry කර්මාන්තය 
information තොරතුරු
informed    දැනුම්දුන්
initial ආරම්භක
initiated ආරම්භය
inspection පරීක්ෂාව
instances අවස්ථා
instead වෙනුවට
institute ආයතනය
institutional   ආයතනික
institutions ආයතන
instructions    උපදෙස්
integrated ඒකාබද්ධ
interest පොලිය
internal අභ්‍යන්තර
international අන්තර්ජාතික 
into තුළට 
investigation   විමර්ශනය
investigations විමර්ශන
investment ආයෝජනය
investments ආයෝජන
involved සම්බන්ධිත
irrigation වාරිමාර්ග
is වේ
island  දූපත
issue   ගැටලුව
item අයිතමය
its එය
joint ඒකාබද්ධ
judges විනිසුරුවන්
judicial අධිකරණ
justice යුක්තිය
knowledge දැනුම 
laboratory රසායනාගාරය
lack හිඟය
land ඉඩම
language භාෂාව
languages භාෂා
lankan  ලාංකික
large මහා
last අවසාන
law නීතිය
leadership නායකත්වය
leasing බදු
ledger ලෙජරය
less    අඩු
letter  ලිපිය
letters ලිපි
level මට්ටම
levels  මට්ටම්
liabilities බැරකම්
liability වගකීම
library පුස්තකාලය
license බලපත්‍රය
life    ජීවිතය
limit   සීමාව
limited සීමිත
limits සීමාවන්
list    ලැයිස්තුව
live සජීවි
livelihood ජීවනෝපාය
loan ණය
loans ණය
local දේශීය
located පිහිටි
long    දිග
loss අලාභය
low අඩු
lower අඩු
machinery යන්ත්‍රෝපකරණ
machines යන්ත්‍ර
made නිර්මිත
main ප්‍රධාන 
mainly ප්‍රධානතම
manner ආකාරය
manufacturing නිෂ්පාදනය
many බොහෝ
map සිතියම
market වෙළෙඳපළ
materials   අමුද්‍රව්‍ය
may මැයි
me මට
measures    මිනුම්
mediation මැදිහත්
medical වෛද්‍ය
medicine ඖෂධ
medium  මාධ්‍යය
meeting රැස්වීම 
meetings    රැස්වීම්
memorandum  අනුස්මරණ
mentioned උක්ත
message පණිවුඩය
meters මීටර්
method  ක්‍රමය
methods ක්‍රම
middle මැද
million මිලියන 
minimum අවම
minister අමාත්‍යවරයා   
ministers අධිකාරී
miscellaneous විවිධ
mission මෙහෙයුම්
mobile ජංගම
model ආකෘතිය
modern නූතන
money   මුදල්
monitoring  අධීක්ෂණය
month මාසය   
monthly මාසික 
months මාස
more තව   
most    වැඩිම
motor මෝටරය
municipal දේශීය
museum  කෞතුකාගාරය
must යුතුය
mutual අන්‍යෝන්‍ය
my මගේ
namely එනම්
names   නම්
nation ජාතිය
national ජාතික   
nature  පරිසරය
needed අවශ්‍ය
needs අවශ්‍යතාවන්
network ජාලය
new අලුත්
newly අලුතින්
news    පුවත්
newspapers පුවත්පත්
no නැත
non නොවන
noncompliance අනවසර
not නැත
note සටහන
notes   සටහන්
notice  දැන්වීම
now දැන්
number සංඛ්‍යාව 
objective අරමුණ
observations    නිරීක්ෂණ
observed නිරීක්ෂණ
occupational    වෘත්තීයමය
office කාර්යාලය
officer නිලධාරියා
officers නිලධාරීන්
offices කාර්යාල
old පැරණි
on කෙරෙහි
once වරක්
one එක් 
only පමණක්    
open විවෘත
opened විවෘතව
opening විවෘත
operating   කාරක
operations ශල්‍යකර්ම
opinion අදහස   
opportunities   අවස්ථා  
opportunity අවස්ථාව
or හෝ
order අණ 
ordinance   ආඥාපනත
ordinary සාමාන්‍ය
organization    සංවිධානය
organizations   සංවිධාන
other අනෙක්
our අපේ
out පිට
outside පිටත
outstanding විශිෂ්ට
over අවසාන
overall සමස්ත
overtime අතිකාල
ownership   අයිතිය
package පැකේජය
page පිටුව
papers කඩදාසි
parliament  පාර්ලිමේන්තුව
part කොටස
participation   සහභාගිත්වය
particulars විස්තර
parties උත්සව 
partners හවුල්කරුවන්
parts කොටස්
passed සමත්
past අතීතයේ
patronage අනුග්‍රහය
pay ගෙවීම
payments ගෙවීම්
peace සාම
pension විශ්‍රාම
people ජනතාව 
per බැගින්
percent සියයට
percentage  ප්‍රතිශතය
performance ප්‍රසංගය
period කාලපරිච්ඡේදය
permanent   ස්ථිර
person පුද්ගලයෙකු
personal    පුද්ගලික
personnel පිරිස්
pertaining අදාළ
phase   අදියර
physical භෞතික 
places ස්ථාන
plan සැලැස්ම
planning සංවිධානය    
plans සැලසුම් 
plant පැලය 
plantation වැවිලි
plants  ශාක
point අග
points ලකුණු
police පොලීසිය
policies ප්‍රතිපත්ති
policy ප්‍රතිපත්තිය
polonnaruwa පොළොන්නරුව
popular ජනප්‍රිය
population  ජනගහනය
post තනතුර 
postal තැපැල්
posts   තනතුරු
power බලය 
premises    පරිශ්‍රය
preparation සැකසීම
preparing   සැකසීම
presently දැනට
president   ජනාධිපති
prevent වළක්වා
previous කලින්
price   මිල
prices මිල 
primary ප්‍රාථමික
prime මූලික
principles  ප්‍රතිපත්ති
printing    මුද්‍රණය
prior   මූලික
prison  බන්ධනාගාරය
procedure   වැඩපිළිවෙළ
procured සපයා
procurement සම්පාදනය
production නිෂ්පාදනය 
products    නිෂ්පාදන
professional වෘත්තීය
proficiency නිපුණතාව
profit ලාභය
program වැඩසටහන
programme වැඩසටහන
programmes වැඩසටහන්
programs වැඩසටහන්
project ව්‍යාපෘතිය
projects ව්‍යාපෘති
promote ප්‍රවර්ධනය
promoting   ප්‍රවර්ධනය 
promotion ප්‍රවර්ධනය 
proper  නිසි
properly නිසි
properties දේපළ
property දේපළ  
proposal යෝජනාව
proposals   යෝජනා
proposed    යෝජිත 
protection ආරක්ෂාව
providing ලබාදීම
province පළාත
provinces   පළාත්
provincial පළාත්බද
provision නියමය
public පොදු
publication ප්‍රකාශනය
publications ප්‍රකාශන
published   ප්‍රකාශිත
purchases ගැනීම්
purpose අරමුණ
purposes    අරමුණු
pursuance ක්‍රියාත්මක
purview නියමය
qualifications සුදුසුකම්
qualified සුදුසුකම්ලත්
quality ගුණාත්මකභාවය 
quarter කාල
radiation   විකිරණ
rate    අනුපාතය
rates   අනුපාත 
read කියවීම
reason හේතුව
reasonable  සාධාරණ 
reasons හේතු
receiving ලැබීම
recognition පිළිගැනීම
recognized පිළිගත් 
recommendation  නිර්දේශය
recommendations නිර්දේශ
recommended නිර්දේශිත
reconciliation  සමථකරණය
reconstruction ප්‍රතිසංස්කරණය
record වාර්තාව
records වාර්තා
recovery    ප්‍රතිසාධනය
recruited   බඳවාගත්
rectified ප්‍රතිශෝධිත
reduce අඩු
reduction අඩුවීම
reference යොමුව
reforms ප්‍රතිසංස්කරණ
regarding   සම්බන්ධයෙන්
region කලාපයේ
regional පළාත්බද
register ලියාපදිංචි 
registered  ලියාපදිංචි
registers ලියාපදිංචිය
registrar රෙජිස්ට්‍රාර්
registration ලියාපදිංචිය   
regulation  රෙගුලාසි
regulations රෙගුලාසි 
rehabilitation පුනරුත්ථාප 
reimbursement ප්‍රතිපූර්ණය
related සම්බන්ධ
relations සබඳතා
release මුදනවා
relevant අදාළ 
religious ආගමික
remained    ඉතිරි
remaining ඉතිරි
renovation ප්‍රතිසංස්කරණය
rent    කුලිය
repair අලුත්වැඩියාව
repairing අලුත්වැඩියාව
report වාර්තාව
reported    වාර්තාගත
reporting   වාර්තාකරණය
reports වාර්තා 
represent නියෝජනය
representative නියෝජිතයා
republic ජනරජය   
request ඉල්ලීම
requests    ඉල්ලීම් 
required අවශ්‍ය    
requirement අවශ්‍යතාව
requirements අවශ්‍යතා
reserve අමතර
reservoir ජලාශය
residential නේවාසික
resource    සම්පත
resources සම්පත්
respective ස්වකීය
responsibilities    වගකීම්
result ප්‍රතිඑලය
resulting ප්‍රතිඵලය
results ප්‍රතිඵල
retained රඳවා
retired විශ්‍රාමික
revealed අනාවරණය
revenue ආදායම
review විමර්ශනය
reviewed සමාලෝචිත
revised සංශෝධිත
rice    සහල්
right දකුණ
rights  අයිතීන්
risk    අවදානම
risks අවදානම්
road මාර්ගය
roads   පාරවල්
role    භූමිකාව
room කාමරය
rules   නීති
rupavahini රූපවාහිනී
rupees රුපියල්
rural ග්‍රාමීය
salaries    වැටුප්
sale    විකිණුම්
sales   විකුණුම්
satisfactory සතුටුදායක
savings ඉතුරුම්
scheduled ලැයිස්තුගත
scheme ක්‍රමය   
schemes ක්‍රම 
scholarships ශිෂ්‍යත්ව
school පාසල  
schools පාසැල්
science විද්‍යාව
scientific විද්‍යාත්මක
scope විෂය
season සමය
second දෙවන
secretary ලේකම්
section අංශය   
sector අංශය   
sectors අංශ
security ආරක්ෂාව 
selected තෝරාගත්  
seminar සම්මන්ත්‍රණය
seminars සම්මන්ත්‍රණ
separate වෙනම
separately වෙනම
series මාලාවක්
service සේවය  
services සේවා
serving පිරිනැමීම
set කට්ටලය
settled ශාන්ත
several කිහිප
share   බෙදාගැනීම
shares කොටස්
she ඇය
sheet පත්‍රය
short   කෙටි
should යුතුය
show පෙන්වීම
show ප්‍රදර්ශනය
significant සුවිශේෂී
since පටන්
single තනි
situated පිහිටි
situation තත්ත්වය
six හය
small   කුඩා
so එබැවින්   
social සමාජීය
software මෘදුකාංග
some    සමහර
source  ප්‍රභවය
sources ප්‍රභවයන්
space ඉඩ
specific විශේෂිත
spending වියදම්
spent   යෙදූ
sports ක්‍රීඩා
stadium ක්‍රීඩාංගනය
staff මාණ්ඩලික
standard    සම්මත
standards ප්‍රමිති 
started ඇරඹුවා
stated  ප්‍රකාශිත  
statement ප්‍රකාශය
statements ප්‍රකාශ
states ජනපදය
station ස්ථානය
stations    නැවතුම්
status තත්ත්වය
step පියවර 
steps පියවර
stock   ගබඩාව
stores ගබඩා
strategies උපායමාර්ග
strength    ශක්තිය
strengthen ශක්තිමත් 
students ශිෂ්‍යයන්
studies අධ්‍යයන
sub උප
subject විෂය
subjects විෂයයන්
substations උපපොළවල්
successfully    සාර්ථකව
such එබඳු  
sufficient ප්‍රමාණවත්
sum එකතුව
supervision අධීක්ෂණය
supplementary   අතිරේක
supplies සැපයුම්
supply සැපයුම
supreme උත්තම
surplus අතිරික්තය
survey සමීක්ෂණය 
surveyor මිනින්දෝරු
system ක්‍රමය
systems පද්ධති
taken ගන්නාලද
taking ආකර්ෂණීය
target ඉලක්කය
targets ඉලක්ක
tasks කාර්යයන්
tax බදු
taxes   බදු
teachers ගුරුවරු
technological   තාක්ෂණික
technologies තාක්ෂණ
technology තාක්ෂණය 
temporary තාවකාලික
terms කොන්දේසි
test    පරීක්ෂණය
testing පරීක්ෂාව
tests පරීක්ෂණ
textile රෙදිපිළි
that එය
their ඔවුන්ගේ
them ඔවුන්ට
thereby එමගින්
therefore එබැවින් 
thereon එහි
these මේවා   
they ඔවුන්
third තුන්වන
this මෙය
though එහෙත්  
three තුන 
through අතරින්
throughout පුරා
thus මෙලෙස
time කාලය
title   මාතෘකාව
together එක්ව
total එකතුව
tourism සංචාරක
towards දෙසට
town නගරය
trade කර්මාන්තය
traditional සම්ප්‍රදායික
traffic ගමනාගමනය
trained පුහුණු 
trainees පුහුණුකරුවන්
training පුහුණුව
transactions    ගනුදෙනු
transfer පැවරීම 
transfers මාරුවීම්
translation පරිවර්තනය
transmission සම්ප්‍රේෂණය   
transport ප්‍රවාහනය
treasury භාණ්ඩාගාරය
trilingual ත්‍රෛභාෂික
true    සත්‍ය
two දෙක 
type වර්ගය
under පහත
understanding   අවබෝධය
undertaken පවරාගත්
unit අංශය 
united  එක්සත්
units   ඒකක
unity සමගිය
university විශ්වවිද්‍යාලය
until   තුරු    
up ඉහළ
updated යාවත්කාලීන
urban   නාගරික  
use පරිහරණය   
utilized    භාවිත
vacancies   පුරප්පාඩු
value අගය
valued  වටිනා
values අගයන්
varieties වර්ග
various විවිධ
vehicle රථය
vehicles වාහන 
view දර්ශනය   
villages ගම්මාන
vision දැක්ම
vocational  වෘත්තීය
volume කාණ්ඩය
voters ඡන්දහිමියන්
was එක්
waste   නාස්තිය
water ජලය
way ආකාරය
we  අපි
website වෙබ්
week සතිය
welfare අභිවෘද්ධිය
well සතුටුදායක
when කල 
whether නමුත්
while අතරතුර
wide පුළුල්
will අභිමතය
with සමග
within ඇතුළත
without තොර
work කාර්යය
works වැඩ
workshops   වැඩමුළු
would   හැකි 
written ලිඛිත
year අවුරුද්ද
you ඔබ
your ඔබගේ
youth   තරුණ
zone    කලාපය
